country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
India,LMC,"6,497",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,1352617344,NA,27500000,1700000,7467000,NA,180784.5,189750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.19,NA,18,NA,NA,NA,77,NA,5,NA,NA,NA,NA
Ireland,HIC,"83,389",16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,NA,Yes,Yes,Yes,Yes,4867316,554285,7898378,212874,482907,NA,776112,2910655,NA,NA,NA,NA,NA,NA,NA,92.04,NA,NA,NA,NA,NA,6,41,17,NA,NA,2,33,NA,1,NA,NA
"Iran, Islamic Rep.",UMC,"14,536",72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,NA,No,Yes,Yes,Yes,No,80277424,16049000,80000000,630000,8000000,30000000,1609650,17885000,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,0.3,12,10,0.4,NA,72,NA,5,NA,0.3,NA,Source
Iraq,UMC,"10,311",68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,No,No,No,NA,NA,36115648,NA,NA,221000,20622,NA,NA,13140000,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Source
Iceland,HIC,"55,274",10,NA,NA,NA,38,9,NA,29,14,NA,Yes,Yes,No,Yes,343400,5000,1000,7600,7000,10000,NA,225270.4063,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,2.86,NA,1.9,30.29,NA,9.14,55.81,NA,NA,NA,NA
Israel,HIC,"37,688",34,3,3,16,24,18,NA,NA,2,NA,Yes,Yes,NA,Yes,8380100,NA,7000000,120000,321000,NA,NA,5400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,25,NA,NA,NA,NA
Italy,HIC,"42,420",34.4,7.6,4.3,15.4,22.8,11.6,NA,3.8,NA,Yes,Yes,Yes,No,NA,60297396,6921585,61938678,2800026,8923548,NA,16071024,30088400,NA,NA,NA,NA,NA,NA,NA,88.92,NA,NA,NA,NA,NA,17.6,NA,19,26.48,NA,NA,25.9,NA,11.02,NA,NA
Jamaica,UMC,"9,551",62.22,2.81,2.38,5.13,14.73,12.2,NA,0.53,NA,Yes,Yes,Yes,Yes,Yes,2881355,NA,NA,17000,10000,NA,206.58,1051694.575,NA,28,NA,NA,NA,63.99,76,NA,NA,67,NA,NA,NA,NA,64,NA,NA,NA,29,NA,NA,7,NA,Source
Jordan,UMC,"10,413",50,2,1.5,15.5,15,16,NA,NA,NA,NA,No,Yes,Yes,NA,8413464,4000000,NA,43000,1230441,45000,4000,2529997,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,48,45,NA,7,NA,NA,NA,Disposal Site
Japan,HIC,"41,310",36,5,4,6,33,11,1,4,NA,Yes,No,Yes,Yes,NA,126529104,35109000,72690000,518978,3600000,392840000,320000,42720000,NA,NA,NA,NA,NA,NA,99.9,NA,NA,NA,NA,NA,0.1,0.4,1.1,80.2,NA,NA,13.3,4.9,NA,NA,NA,Source
