country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
Ukraine,LMC,"11,535",37,5,4,22,25,7,NA,NA,NA,Yes,Yes,Yes,Yes,NA,45004644,8600000,1400000,277000,448000000,587000,NA,15242025,NA,NA,NA,NA,NA,NA,75.86,NA,NA,NA,NA,NA,NA,NA,NA,2.73,94.07,NA,NA,3.2,NA,NA,NA,Other
Uruguay,HIC,"20,588",53.5,3,5,7.5,20,11,NA,NA,NA,No,Yes,Yes,Yes,NA,3431552,NA,NA,37000,NA,NA,NA,1260139.509,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,100,NA,NA,NA,61.7,NA,NA,17.5,NA,8,10.5,2.3,NA,NA
United States,HIC,"61,498",14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,Yes,Yes,Yes,Yes,Yes,326687488,NA,534000000,2440000,28800000,7600000000,2600000,265224528,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,12.8,52.6,NA,NA,34.6,NA,NA,NA,NA
Uzbekistan,LMC,"5,164",40,3,2,17.5,17.5,2.5,1.5,4,NA,No,Yes,Yes,Yes,NA,29774500,NA,NA,NA,NA,NA,NA,4000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,40,NA,Disposal site
St. Vincent and the Grenadines,UMC,"11,972",49.6,5.6,3.8,10.5,22.1,8.4,NA,NA,NA,Yes,Yes,Yes,No,Yes,109455,NA,NA,900,NA,NA,NA,31561.34925,NA,95.4,NA,NA,NA,96.2,NA,NA,NA,97.2,NA,NA,NA,0.09,NA,NA,99.91,NA,3.6,NA,NA,NA,NA,NA
"Venezuela, RB",UMC,"14,270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,29893080,NA,NA,232700,123157,NA,NA,9779093.14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,HIC,"24,216",6.5,18.1,8.6,4.8,33.5,6.3,NA,22.2,NA,Yes,Yes,Yes,Yes,Yes,20645,NA,NA,NA,NA,NA,NA,21099.19,NA,NA,NA,NA,NA,NA,97.2,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,19.7,NA,NA
Virgin Islands (U.S.),HIC,"30,437",46,7,7,12,15,13,NA,NA,NA,NA,Yes,Yes,Yes,NA,105784,NA,NA,NA,NA,NA,NA,146500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,LMC,"5,089",61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,No,Yes,Yes,Yes,NA,86932496,NA,NA,141000,2995153.5,9600000,200000,9570300,NA,NA,42.5,NA,NA,NA,72,NA,NA,NA,84,NA,NA,15,NA,NA,NA,NA,NA,23,NA,62,NA,NA
Vanuatu,LMC,"3,062",73.4,5.4,3.8,5.7,4.05,6.45,1.2,NA,NA,NA,Yes,Yes,Yes,NA,270402,NA,NA,300,NA,NA,139.1,70225.489,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,11.3,NA,37,NA,51.7,NA,NA
Samoa,UMC,"6,211",42.6,2.2,8.8,19.4,7.2,13,6.8,NA,NA,NA,Yes,Yes,Yes,MNRE publishes monthly environmental newsletters informing the public about solid waste activities and projects.,187665,NA,NA,500,NA,NA,36.14,27399.09,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,31,NA,NA,NA,NA,36,NA,33,NA,NA
Kosovo,LMC,"9,724",42,6,6,20,8,11,NA,7,NA,Yes,Yes,Yes,Yes,NA,1801800,3880,217241,23,495,NA,834,319000,NA,NA,35,NA,NA,NA,39,NA,NA,NA,100,NA,NA,NA,66.43,NA,NA,33.57,NA,NA,NA,NA,NA,NA
"Yemen, Rep.",LIC,"8,270",65,1,6,6,7,10,1,3,1,No,Yes,Yes,No,NA,27584212,NA,NA,42000,21000,NA,NA,4836820,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,25,NA,8,NA,47,8,Other
South Africa,UMC,"12,667",16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,NA,NA,NA,Yes,Yes,Yes,NA,NA,51729344,NA,NA,321000,1319096,NA,NA,18457232,NA,NA,NA,NA,NA,64,NA,NA,NA,90.5,NA,NA,NA,NA,72,NA,NA,NA,NA,28,NA,NA,NA,NA
Zambia,LMC,"3,201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,14264756,NA,NA,15000,80000,NA,NA,2608268,NA,NA,NA,NA,NA,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,LIC,"3,191",36,5,6,3,27,23,NA,NA,NA,NA,NA,Yes,NA,NA,12500525,NA,NA,13000,37346,NA,NA,1449752,NA,NA,NA,NA,NA,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,84,NA,NA
